"Timestamp","Ikä?","Sarja johon kirjaudun","Olen juossut viimeisen vuoden aikana","Viimeisen vuoden aikana teen vähintään puolituntia kestävää liikuntaa","Viimeisin Cooper-tulokseni (valitse lähin)","Olen treenannut","Useimmiten treenaan","Kovan treenin ohessa","Tavoitteenani on","Haaveissani olisi","Isoimmat esteet haaveilleni ovat kaiketi","Uusilla reiteillä seuraan","Olen käynyt yhteislenkillä","Yhteislenkki oli (jos osallistuit)","Minulle käteviä treenipaikkoja olisivat","Käyn treeneissä yleensä","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Maanantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Tiistai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Keskiviikko]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Torstai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Perjantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Lauantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Sunnuntai]","Treenimääränä minusta olisi optimaalinen","Treenin tehokkuus tulisi olla mielestäni","Treenimaaston tulisi sisältää","Treeneistä tulisi ilmoittaa","Korona on vaikuttanut","Parasta yhteistoimintaa on ollut","Lisäksi haluaisin","Harrastan myös"
"2023/12/15 4:43:00 PM GMT+2","40-50","naiset","puolimaratonin","kuudesti viikossa","3000m","Mäkeä juosten ylös;Pitkiksiä;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Jäähdyttely (hölkkä);Muistan juoda","tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin","polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Ruuhkavuodet;Ikä","merkattuja reittejä;paperikarttaa ja kompassia","Joo","ihan sopiva kaikin puolin ja mukava","Köhniö;Laajis","juoksen alkulämpät;pyörällä","17-19","17-19","17-19","17-19","17-19","10-12","10-12","2 h","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;intervalleja","helppoa neulaspolkua;paljon verttimetrejä","muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit;Facebook-läppä","Enemmän yhteisiä pitkiksiä;Enemmän yhteisiä juoksuleirejä (esim. vuokratupa);Yhteinen etelän juoksuleiri talvella 2024-25 esimerkiksi Kanarialla, jos joku tuntee hyvin reittejä.","Hiihto;Jumppa;Suunnistus"
"2023/12/15 5:22:04 PM GMT+2","40-50","naiset","5km lenkin;10km lenkin;puolimaratonin;ultran","viidesti viikossa","2400m","Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Jäähdyttely (hölkkä);Käytän hierontapalveluita;Muistan juoda;Tankkaan energiaa;Olen hankkinut ohjausta (valmennus)","nauttia luonnosta;kehittää nopeuttani juoksijana;tutustua uusiin paikkoihin liikunnan keinoin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen juoksuvaellus;polkujuoksu pohjoisessa suomessa","Määrärahojen puute;Ajanpuute","järjestäjän merkkejä;merkattuja reittejä;mobiilikarttaa","En","","Keskusta;Laajis;Ladun maja","","","","17-19","17-19","","","","1 h;1 h 30 min;2 h","peruskestävyys hölkkää niin ettei sykkeet nouse;vetotreenejä;mäkitreeniä;intervalleja","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","viikkoa aiemmin;kaksi viikkoa aiemmin jotta kerkeää järjestellä aikaa","Ei ole vaikuttanut","Yhteislenkit;Juoksukaverit;Facebook-läppä;Juoksublogit tai tarinat","","Hiihto;Tanssi;jooga, retkeily ja vaellukset"
"2023/12/15 6:14:13 PM GMT+2","40-50","naiset","ultran","kuudesti viikossa","Ei tulosta","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Alamäkijuoksu;Nopeaa kävelyä (speed hike);Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Muistan juoda;Tankkaan energiaa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;löytää polulta elämäni rakkaus","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;kisaaminen;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Määrärahojen puute;Ajanpuute","mobiilikarttaa;suuntaa auringosta;olen oman tieni kulkija","Joo","ihan sopiva kaikin puolin ja mukava;kengät kastui","Halssila;Kangaslampi;Keskusta;Vaajakoski","juoksen alkulämpät;pyörällä","","","","","","","","1 h;1 h 30 min;2 h;2 h 30 min;yli 3 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);mäkitreeniä","helppoa neulaspolkua;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","viikkoa aiemmin","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Pikkujoulut","Enemmän yhteisiä tunkkausmättöjä;Enemmän yhteisiä juoksuleirejä (esim. vuokratupa)","Hiihto;Laskettelu;Maastopyöräily;Melonta;Retkeily;Tanssi"
"2023/12/15 10:12:39 PM GMT+2","70-","naiset","ultran","kuudesti viikossa","2200m","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Alamäkijuoksu;Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Käytän hierontapalveluita;Muistan juoda;Tankkaan energiaa","nauttia luonnosta;kehittää nopeuttani juoksijana;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","kisaaminen;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Ikä;Fyysiset rajoitteet","järjestäjän merkkejä;merkattuja reittejä;olen oman tieni kulkija","Joo","ihan sopiva kaikin puolin ja mukava","Ihan samaa","omalla autolla","","","17-19","","","","5-7;10-12","2 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;intervalleja","paljon verttimetrejä;nelivetopaikkoja","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit;Pikkujoulut;Facebook-läppä;Juoksublogit tai tarinat","Enemmän yhteislenkkejä;Enemmän yhteisiä reissuja lähikuntiin;Enemmän yhteisiä pitkiksiä;Enemmän yhteisiä voimatreenejä;Enemmän yhteisiä juoksuvaelluksia;Enemmän yhteisiä tunkkausmättöjä","Hiihto;Jumppa"
"2023/12/16 3:36:07 PM GMT+2","50-60","naiset","ultran","kuudesti viikossa","Ei tulosta","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Alamäkijuoksu;Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Käytän hierontapalveluita;Muistan juoda;Tankkaan energiaa","nauttia luonnosta;kehittää nopeuttani juoksijana;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen juoksuvaellus;kisaaminen;polkujuoksu pohjoisessa suomessa","Kaverin puute","merkattuja reittejä;mobiilikarttaa","Joo","ihan sopiva kaikin puolin ja mukava","Halssila;Kanavuori;Kangaslampi;Keskusta;Kuokkala;Kuolemankuopat;Köhniö;Laajis;Ladun maja;Leppävesi;Sippulanniemi;Touruvuori;Vaajakoski","omalla autolla","","17-19;19-21","17-19;19-21","17-19;19-21","","","10-12;12-15;15-17;17-19;19-21","1 h 30 min;2 h","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);mäkitreeniä","helppoa neulaspolkua;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","viikkoa aiemmin","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Juoksukaverit;Pikkujoulut","Enemmän yhteisiä pitkiksiä;Enemmän yhteisiä juoksuvaelluksia;Enemmän yhteisiä tunkkausmättöjä","Jumppa;Laskettelu;Melonta;Retkiluistelu;Rogain;Retkeily"
"2023/12/17 10:42:11 AM GMT+2","40-50","miehet","ultran","neljästi viikossa","Ei tulosta","Mäkeä juosten ylös;Nopeaa kävelyä (speed hike);Pitkiksiä;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Muistan juoda;Tankkaan energiaa","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;polkujuoksu pohjoisessa suomessa","Ajanpuute;Kaverin puute;Ruuhkavuodet","järjestäjän merkkejä;gps-reittiä;mobiilikarttaa;olen oman tieni kulkija","Joo","ihan sopiva kaikin puolin ja mukava","Halssila;Kanavuori;Kangaslampi;Kuolemankuopat;Köhniö;Laajis;Ladun maja;Leppävesi;Touruvuori;Vaajakoski","juoksen alkulämpät","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","7-10;10-12;12-15;15-17;17-19;19-21","7-10;10-12;12-15;15-17;17-19;19-21","1 h 30 min;yli 3 h","peruskestävyys hölkkää niin ettei sykkeet nouse;mäkitreeniä","helppoa neulaspolkua;vain pieniä mäkiä;kivikkoa;juurakkoa","muutama päivä aiemmin riittää;viikkoa aiemmin","En ole päässyt osallistumaan","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Facebook-läppä","Enemmän yhteisiä pitkiksiä;Useammin backyard ultran;Enemmän yhteisiä voimatreenejä;Enemmän yhteisiä tunkkausmättöjä","Hiihto;Laskettelu;Lumikenkäily;Retkiluistelu;Retkeily;Varjoliito"
"2023/12/17 7:31:54 PM GMT+2","30-40","naiset","puolimaratonin","kuudesti viikossa","Ei tulosta","Mäkeä (kävellen/sauvoilla);Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Käytän hierontapalveluita;Muistan juoda;Tankkaan energiaa","nauttia luonnosta;lisätä juoksumatkaa;käydä läpi useita luonnon tarjoamia nähtävyyksiä","polkujuoksu pohjoisessa suomessa","","järjestäjän merkkejä;merkattuja reittejä","Joo","ihan sopiva kaikin puolin ja mukava","Halssila;Kangaslampi;Kuolemankuopat;Laajis;Touruvuori;Vesanka, Ruoke","pyörällä;omalla autolla","17-19","17-19","17-19","17-19","17-19","10-12","10-12","1 h 30 min","peruskestävyys hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;nelivetopaikkoja;kivikkoa;juurakkoa","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Yhteislenkit;Juoksukaverit","Enemmän yhteislenkkejä","Gravel-pyöräily;Hiihto;Jumppa;Lumikenkäily;Retkeily;Ratsastus"
"2023/12/24 2:57:28 PM GMT+2","40-50","miehet","puolimaratonin","viidesti viikossa","","Mäkeä juosten ylös;Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Jäähdyttely (hölkkä);Muistan juoda;Tankkaan energiaa","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin","läheiset kansallispuistot;kisaaminen;polkujuoksu pohjoisessa suomessa","Ajanpuute;Laiskuus","merkattuja reittejä;mobiilikarttaa","En","","Laajis;Touruvuori","juoksen alkulämpät","15-17;17-19","15-17;17-19","15-17;17-19","17-19","15-17;17-19","7-10;10-12;12-15;15-17","7-10;10-12;12-15;15-17","1 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;vain pieniä mäkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","","","Hiihto;Kiipeily tai boulderointi;Laskettelu;Maastopyöräily;Maantiepyöräily;Retkeily"
"2023/12/27 8:03:55 PM GMT+2","40-50","miehet","1km lenkin;5km lenkin;10km lenkin","kuudesti viikossa","2600m","Mäkeä (kävellen/sauvoilla);Vetoja;Peruskestävyyttä;Monipuolisesti eri lajeja","Kaksin","Muistan juoda;Tankkaan energiaa","kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen juoksuvaellus","Ajanpuute;Laiskuus;Henkinen kuormitustilanne","merkattuja reittejä;mobiilikarttaa","En","","Halssila;Kangaslampi;Kuolemankuopat","","","","","","","","","1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","","viikkoa aiemmin","En ole uskaltanut osallistua","Juoksukaverit","Enemmän yhteisiä reissuja lähikuntiin;Enemmän yhteisiä pitkiksiä","Lumikenkäily;Maastopyöräily;Maantiepyöräily;Potkukelkkailu;Retkeily"
"2023/12/28 7:03:07 PM GMT+2","40-50","naiset","1km lenkin;5km lenkin;10km lenkin;maratonin","neljästi viikossa","","Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä;löytää polulta elämäni rakkaus","läheiset kansallispuistot","","merkattuja reittejä","Joo","ihan sopiva kaikin puolin ja mukava;kengät kastui","Keskusta;Kuokkala;Sippulanniemi","omalla autolla","","17-19","17-19","17-19","17-19","","","1 h 30 min;2 h","maltillinen hölkkä hitaimman mukaan","helppoa neulaspolkua","muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit;Pikkujoulut","Enemmän yhteislenkkejä;Enemmän yhteisiä saunailtoja;Enemmän yhteisiä juoksuleirejä (esim. vuokratupa)","Gravel-pyöräily;Hiihto;Laskettelu;Maastopyöräily;Maantiepyöräily;Retkiluistelu;Retkeily;Seikkailu-urheilu;Suppailu"
"2023/12/28 7:30:59 PM GMT+2","50-60","miehet","1km lenkin;5km lenkin;10km lenkin;puolimaratonin;maratonin;ultran","kolmesti viikossa","3200m","Nopeaa kävelyä (speed hike);Peruskestävyyttä;Monipuolisesti eri lajeja","Kaksin","Muistan juoda","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä;löytää polulta elämäni rakkaus","pidempi yhtenäinen juoksuvaellus;polku- tai vuorijuoksu ulkomailla","Laiskuus","gps-reittiä;paperikarttaa ja kompassia;olen oman tieni kulkija","Joo","kengät kastui","Keskusta;Kuokkala;Kuolemankuopat;Köhniö;Laajis;Sarvenperä;Vesanka, Ruoke","pyörällä;toisen kyydillä","","","","","","","","yli 3 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;pitkää raastoa","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit;Pikkujoulut","Enemmän yhteisiä reissuja lähikuntiin;Enemmän yhteisiä pitkiksiä;Enemmän yhteisiä juoksuvaelluksia;Enemmän yhteisiä juoksuleirejä (esim. vuokratupa)","Gravel-pyöräily;Hiihto;Maastopyöräily;Maantiepyöräily;Potkukelkkailu;Retkiluistelu;Rogain;Ratsastus;Seikkailu-urheilu;Suppailu;Suunnistus;Triathlon;Uinti"
"2023/12/28 7:31:07 PM GMT+2","30-40","miehet","ultran","noin kerran viikossa","3100m","Peruskestävyyttä","Yksin","Muistan juoda","nauttia luonnosta;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;polkujuoksu pohjoisessa suomessa","Määrärahojen puute;Kaverin puute;Laiskuus;Ruuhkavuodet;Ikä","gps-reittiä","Joo","ihan sopiva kaikin puolin ja mukava","Ladun maja;Mäyrämäki;Sarvenperä;Vesanka, Ruoke","omalla autolla","19-21","19-21","19-21","19-21","19-21","","","1 h","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa","muutama päivä aiemmin riittää","En ole päässyt osallistumaan","Kisamatkat ja yhteismajoitukset;Yhteislenkit","Enemmän yhteislenkkejä","Hiihto;Maastopyöräily;Retkiluistelu;Retkeily;Suppailu"
"2023/12/28 7:31:12 PM GMT+2","30-40","naiset","10km lenkin","viidesti viikossa","Ei tulosta","Mäkeä (kävellen/sauvoilla);Alamäkijuoksu;Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Jäähdyttely (hölkkä);Muistan juoda;Olen hankkinut ohjausta (valmennus)","nauttia luonnosta;voittaa itselleni asettamat haasteet","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria","En uskalla kulkea uusilla reiteillä yksin;Fyysiset rajoitteet","järjestäjän merkkejä;merkattuja reittejä;mobiilikarttaa","En","","Halssila;Kangaslampi;Kuolemankuopat;Köhniö;Laajis;Ladun maja;Touruvuori","pyörällä;omalla autolla","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","10-12;12-15","10-12;12-15","1 h;1 h 30 min","reipas kävely tällä kunnolla saa jo huohottamaan;maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;mäkitreeniä","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Yhteislenkit;Juoksublogit tai tarinat","Enemmän yhteislenkkejä;Enemmän yhteisiä tunkkausmättöjä","Gravel-pyöräily;Hiihto"
"2023/12/28 7:32:58 PM GMT+2","40-50","miehet","10km lenkin","kolmesti viikossa","2400m","Monipuolisesti eri lajeja","Yksin","Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Muistan juoda;Tankkaan energiaa","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;läheiset kansallispuistot","Ajanpuute;Kaverin puute;Ruuhkavuodet","gps-reittiä;mobiilikarttaa","Joo","ihan sopiva kaikin puolin ja mukava","Keljonkangas;Ladun maja;Myllyjärvi;Muurame","omalla autolla","15-17;17-19;19-21","15-17;17-19;19-21","15-17;17-19;19-21","15-17;17-19;19-21","","","17-19;19-21","1 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;vain pieniä mäkiä","muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","Yhteislenkit","Enemmän yhteislenkkejä;Enemmän yhteisiä reissuja lähikuntiin","Hiihto;Maastopyöräily;Maantiepyöräily;Retkeily;Suppailu"
"2023/12/28 7:33:42 PM GMT+2","40-50","miehet","10km lenkin","kolmesti viikossa","2600m","Peruskestävyyttä","Yksin","Lämmittelen lihakset","nauttia luonnosta;lisätä juoksumatkaa;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen juoksuvaellus","Ajanpuute;Laiskuus;Ruuhkavuodet","mobiilikarttaa","En","","Vaajakoski","","","","","","","","","45 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;vain pieniä mäkiä","edellisenä päivänä","Ei ole vaikuttanut","","","Gravel-pyöräily;Kiipeily tai boulderointi;Maastopyöräily;Retkeily;"
"2023/12/28 7:34:21 PM GMT+2","30-40","miehet","puolimaratonin","neljästi viikossa","Ei tulosta","Nopeaa kävelyä (speed hike);Vetoja;Pitkiksiä;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Jäähdyttely (hölkkä);Käytän hierontapalveluita;Muistan juoda;Tankkaan energiaa","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;polkujuoksu pohjoisessa suomessa","Ajanpuute;Kaverin puute;Kulkuyhteydet","gps-reittiä;olen oman tieni kulkija","Joo","ihan sopiva kaikin puolin ja mukava","Kauramäki;Keljonkangas;Ladun maja;Muurame;Sarvenperä","omalla autolla","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","10-12;12-15;15-17;17-19","10-12;12-15;15-17","2 h","maltillinen hölkkä hitaimman mukaan","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","viikkoa aiemmin","Ei ole vaikuttanut","Yhteislenkit;Juoksublogit tai tarinat","Enemmän yhteislenkkejä;Enemmän yhteisiä reissuja lähikuntiin;Enemmän yhteisiä pitkiksiä;Enemmän yhteisiä tunkkausmättöjä","Kiipeily tai boulderointi;Maastopyöräily;Retkeily;Suunnistus"
"2023/12/28 7:34:52 PM GMT+2","50-60","naiset","puolimaratonin","viidesti viikossa","Ei tulosta","Mäkeä juosten ylös;Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;polkujuoksu pohjoisessa suomessa","En uskalla kulkea uusilla reiteillä yksin;Kaverin puute","olen oman tieni kulkija","En","","Kauramäki;Keskusta;Keljonkangas;Kuokkala;Köhniö;Laajis;Ladun maja;Myllyjärvi;Mäyrämäki;Muurame;Sippulanniemi","pyörällä","17-19;19-21;>21","17-19;19-21;>21","17-19;19-21;>21","17-19;19-21;>21","17-19;19-21;>21","17-19;19-21;>21","17-19;19-21;>21","1 h;1 h 30 min;2 h;2 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;vetotreenejä;mäkitreeniä;pitkää raastoa;intervalleja","helppoa neulaspolkua;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Yhteislenkit","Enemmän yhteislenkkejä;Enemmän yhteisiä reissuja lähikuntiin;Enemmän yhteisiä pitkiksiä;Enemmän yhteisiä voimatreenejä;Enemmän yhteisiä juoksuvaelluksia","Gravel-pyöräily;Hiihto;Jumppa;Laskettelu;Lumikenkäily;Maantiepyöräily;Retkeily;Vaellus, hiihtovaellus"
"2023/12/28 7:41:33 PM GMT+2","30-40","naiset","puolimaratonin","11 kertaa viikossa","3200m","Mäkeä juosten ylös;Alamäkijuoksu;Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Käytän hierontapalveluita;Muistan juoda;Tankkaan energiaa","kehittää nopeuttani juoksijana;voittaa itselleni asettamat haasteet;päästä podiumille","pidempi yhtenäinen juoksuvaellus;polku- tai vuorijuoksu ulkomailla;UTMB kisa","Määrärahojen puute;Ajanpuute;Ruuhkavuodet","olen oman tieni kulkija","En","","Halssila;Kangaslampi;Kuolemankuopat","juoksen alkulämpät","7-10","7-10","7-10","7-10","7-10","7-10","7-10","2 h","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;pitkää raastoa;intervalleja","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja","viikkoa aiemmin","Ei ole vaikuttanut","","","Hiihto;Suunnistus"
"2023/12/28 7:45:44 PM GMT+2","40-50","miehet","puolimaratonin","viidesti viikossa","3200m","Pitkiksiä;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Muistan juoda;Tankkaan energiaa","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;käydä läpi useita luonnon tarjoamia nähtävyyksiä;löytää polulta elämäni rakkaus","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus","","mobiilikarttaa;olen oman tieni kulkija","En","","","","","","","","","","","2 h","Uusiin polkuihin tutustumista","helppoa neulaspolkua;kivikkoa;juurakkoa;suota","","Ei ole vaikuttanut","","","Maantiepyöräily;Liukulumikenkäily"
